"Statistic","Quarter","Income Support Recipients","County","Sex","Age Group","Employment Record","UNIT","VALUE"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Limerick","Female","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Leitrim","Both sexes","All ages","Same Employer","€","766"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Leitrim","Both sexes","All ages","Different Employer","€","575"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Leitrim","Both sexes","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Leitrim","Both sexes","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Leitrim","Both sexes","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Leitrim","Both sexes","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Leitrim","Male","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Leitrim","Male","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Leitrim","Male","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Leitrim","Male","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Leitrim","Male","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Leitrim","Male","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Leitrim","Female","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Leitrim","Female","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Leitrim","Female","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Leitrim","Female","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Leitrim","Female","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Leitrim","Female","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Laois","Both sexes","All ages","Same Employer","€","798"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Laois","Both sexes","All ages","Different Employer","€","640"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Laois","Both sexes","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Laois","Both sexes","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Laois","Both sexes","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Laois","Both sexes","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Laois","Male","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Laois","Male","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Laois","Male","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Laois","Male","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Laois","Male","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Laois","Male","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Laois","Female","All ages","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Laois","Female","All ages","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Laois","Female","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Laois","Female","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Laois","Female","25 years and over","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Laois","Female","25 years and over","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Meath","Both sexes","All ages","Same Employer","€","872"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Meath","Both sexes","All ages","Different Employer","€","709"
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Meath","Both sexes","Under 25 years","Same Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Meath","Both sexes","Under 25 years","Different Employer","€",""
"Income in current period (t)","2021Q1","No supports in current period or previous period (t-1)","Co. Meath","Both sexes","25 years and over","Same Employer","€",""
